usNo,usId,usPs,usName,usImg,nowPt,ip,host,regDate
,otonashi,7599fcea685786ffa4f9314259a155301ed24f5d,音無,dummyUser0.jpg,100,,,2015/11/11 11:11
,itinose,7599fcea685786ffa4f9314259a155301ed24f5d,一之瀬,dummyUser1.jpg,100.0000001,,,2015/11/11 11:11
,nikaidou,7599fcea685786ffa4f9314259a155301ed24f5d,二階堂,dummyUser2.jpg,99.9999999,,,2015/11/11 11:11
,mitaka,7599fcea685786ffa4f9314259a155301ed24f5d,三鷹,dummyUser3.jpg,100,,,2015/11/11 11:11
,yotuya,7599fcea685786ffa4f9314259a155301ed24f5d,四ツ谷,dummyUser4.jpg,100,,,2015/11/11 11:11
,godai,7599fcea685786ffa4f9314259a155301ed24f5d,五代,dummyUser5.jpg,100,,,2015/11/11 11:11
,roppngi,7599fcea685786ffa4f9314259a155301ed24f5d,六本木,dummyUser6.jpg,100,,,2015/11/11 11:11
,nanase,7599fcea685786ffa4f9314259a155301ed24f5d,七瀬,dummyUser7.jpg,100,,,2015/11/11 11:11
,yagami,7599fcea685786ffa4f9314259a155301ed24f5d,八神,dummyUser8.jpg,100,,,2015/11/11 11:11
,kujou,7599fcea685786ffa4f9314259a155301ed24f5d,九条,dummyUser9.jpg,100,,,2015/11/11 11:11
